"STATION","NAME","DATE","CDSD","CLDD","DT00","DT32","DX32","DX70","DX90","EMNT","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"IDM00096839","ACHMAD YANI, ID","2022-02",,,,,"0","25","6",,"94",,,,,"88.2",
"IDM00096839","ACHMAD YANI, ID","2022-04",,,,,"0","26","16",,"95",,,,,"90.5",
"IDM00096839","ACHMAD YANI, ID","2022-05",,,,,"0","29","21",,"94",,,,,"90.8",
"IDM00096839","ACHMAD YANI, ID","2022-06",,,,,"0","30","18",,"93",,,,,"90.2",
"IDM00096839","ACHMAD YANI, ID","2022-07",,,,,"0","31","28",,"94",,,,,"91.5",
"IDM00096839","ACHMAD YANI, ID","2022-08",,,,,"0","30","27",,"94",,,,,"92.0",
"IDM00096839","ACHMAD YANI, ID","2022-09",,,,,"0","29","26",,"97",,,,,"92.9",
"IDM00096839","ACHMAD YANI, ID","2022-10",,,,,"0","27","14",,"92",,,,,"89.5",
"IDM00097096","KASIGUNCU, ID","2022-01",,,,,"0","28","10",,"91",,,,,"89.0",
"IDM00097096","KASIGUNCU, ID","2022-02",,,,,"0","24","13",,"91",,,,,"89.3",
"IDM00097096","KASIGUNCU, ID","2022-03",,,,,"0","29","14",,"92",,,,,"89.6",
"IDM00097096","KASIGUNCU, ID","2022-04",,,,,"0","29","23",,"92",,,,,"90.3",
"IDM00097096","KASIGUNCU, ID","2022-05",,,,,"0","30","19",,"93",,,,,"90.0",
"IDM00097096","KASIGUNCU, ID","2022-06",,,,,"0","30","19",,"93",,,,,"90.0",
"IDM00097096","KASIGUNCU, ID","2022-07",,,,,"0","30","10",,"92",,,,,"89.0",
"IDM00097096","KASIGUNCU, ID","2022-08",,,,,"0","31","12",,"93",,,,,"89.4",
"IDM00097096","KASIGUNCU, ID","2022-09",,,,,"0","29","13",,"95",,,,,"89.5",
"IDM00097096","KASIGUNCU, ID","2022-10",,,,,"0","27","14",,"91",,,,,"89.7",
"IDM00096685","SYAMSUDIN NOOR, ID","2022-03",,,,,"0","27","14",,"95",,,,,"89.7",
"IDM00096685","SYAMSUDIN NOOR, ID","2022-04",,,,,"0","26","18",,"96",,,,,"91.1",
"IDM00096685","SYAMSUDIN NOOR, ID","2022-05",,,,,"0","27","20",,"95",,,,,"90.7",
"IDM00096685","SYAMSUDIN NOOR, ID","2022-06",,,,,"0","28","16",,"94",,,,,"89.8",
"IDM00096685","SYAMSUDIN NOOR, ID","2022-07",,,,,"0","26","13",,"93",,,,,"89.0",
"IDM00096685","SYAMSUDIN NOOR, ID","2022-08",,,,,"0","26","16",,"96",,,,,"89.7",
"IDM00096685","SYAMSUDIN NOOR, ID","2022-09",,,,,"0","27","15",,"95",,,,,"89.4",
"IDM00096685","SYAMSUDIN NOOR, ID","2022-10",,,,,"0","28","10",,"94",,,,,"88.6",
"IDM00097378","ROTE BAA LEKUNIK, ID","2022-03",,,,,"0","29","10",,"92",,,,,"89.3",
"IDM00097378","ROTE BAA LEKUNIK, ID","2022-04",,,,,"0","28","23",,"95",,,,,"91.0",
"IDM00097378","ROTE BAA LEKUNIK, ID","2022-05",,,,,"0","28","17",,"92",,,,,"89.7",
"IDM00097378","ROTE BAA LEKUNIK, ID","2022-06",,,,,"0","28","12",,"93",,,,,"88.8",
"IDM00097378","ROTE BAA LEKUNIK, ID","2022-07",,,,,"0","29","0",,"86",,,,,"83.5",
"IDM00097378","ROTE BAA LEKUNIK, ID","2022-08",,,,,"0","31","4",,"92",,,,,"87.2",
"IDM00097378","ROTE BAA LEKUNIK, ID","2022-09",,,,,"0","28","13",,"94",,,,,"89.7",
"IDM00097378","ROTE BAA LEKUNIK, ID","2022-10",,,,,"0","29","14",,"93",,,,,"89.9",
"ID000097560","BIAK FRANS KAISIEPO, ID","2022-01",,,,,"0","27","0",,"89",,,,,"86.4",
"ID000097560","BIAK FRANS KAISIEPO, ID","2022-02",,,,,"0","28","0",,"89",,,,,"85.8",
"ID000097560","BIAK FRANS KAISIEPO, ID","2022-03",,,,,"0","31","0",,"89",,,,,"86.7",
"ID000097560","BIAK FRANS KAISIEPO, ID","2022-04",,,,,"0","29","1",,"90",,,,,"86.9",
"ID000097560","BIAK FRANS KAISIEPO, ID","2022-05",,,,,"0","29","2",,"90",,,,,"87.0",
"ID000097560","BIAK FRANS KAISIEPO, ID","2022-06",,,,,"0","29","0",,"89",,,,,"86.9",
"ID000097560","BIAK FRANS KAISIEPO, ID","2022-07",,,,,"0","31","0",,"88",,,,,"85.3",
"ID000097560","BIAK FRANS KAISIEPO, ID","2022-08",,,,,"0","27","0",,"89",,,,,"86.1",
"IDM00096001","MAIMUN SALEH, ID","2022-01","410","410","0","0","0","28","0","72","89",,"0",,"80.7","86.4","75.0"
"IDM00096001","MAIMUN SALEH, ID","2022-02",,,,,"0","27","0",,"90",,,,,"86.5",
"IDM00096001","MAIMUN SALEH, ID","2022-03",,,,,"0","31","3",,"91",,,,,"87.4",
"IDM00096001","MAIMUN SALEH, ID","2022-04",,"490","0","0","0","29","12","73","93",,"0",,"82.5","89.3","75.8"
"IDM00096001","MAIMUN SALEH, ID","2022-05",,,,,"0","30","21",,"95",,,,,"90.7",
"IDM00096001","MAIMUN SALEH, ID","2022-06",,,,,"0","30","9",,"93",,,,,"88.3",
"IDM00096001","MAIMUN SALEH, ID","2022-07",,,,,"0","31","11",,"92",,,,,"88.5",
"IDM00096001","MAIMUN SALEH, ID","2022-08",,,,,"0","30","10",,"91",,,,,"88.6",
"IDM00096001","MAIMUN SALEH, ID","2022-09",,,,,"0","30","13",,"93",,,,,"88.9",
"IDM00096001","MAIMUN SALEH, ID","2022-10",,,,,"0","30","3",,"90",,,,,"86.6",
"IDM00097530","RENDANI, ID","2022-01",,,,,"0","26","12",,"92",,,,,"89.3",
"IDM00097530","RENDANI, ID","2022-02",,,"0","0","0","24","11","74","92",,,,"82.5","89.1","75.9"
"IDM00097530","RENDANI, ID","2022-03",,,,,"0","27","16",,"93",,,,,"89.9",
"IDM00097530","RENDANI, ID","2022-04",,,,,"0","26","14",,"93",,,,,"89.3",
"IDM00097530","RENDANI, ID","2022-05",,,,,"0","29","19",,"93",,,,,"90.4",
"IDM00097530","RENDANI, ID","2022-06",,,,,"0","28","16",,"92",,,,,"89.7",
"IDM00097530","RENDANI, ID","2022-07",,,,,"0","29","12",,"91",,,,,"88.4",
"IDM00097530","RENDANI, ID","2022-08",,,,,"0","28","14",,"92",,,,,"89.3",
"IDM00097530","RENDANI, ID","2022-09",,,,,"0","27","18",,"93",,,,,"90.3",
"IDM00097530","RENDANI, ID","2022-10",,,,,"0","27","23",,"94",,,,,"91.2",
"ID000096073","SIBOLGA PINANGSORI, ID","2022-01","464","464","0","0","0","31","23","68","94",,"0",,"80.9","90.8","70.9"
"ID000096073","SIBOLGA PINANGSORI, ID","2022-02","852","388","0","0","0","26","20","67","94",,"0",,"80.5","90.8","70.2"
"ID000096073","SIBOLGA PINANGSORI, ID","2022-03",,,"0","0","0","28","17","65","94",,,,"80.5","90.6","70.5"
