"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00096839","ACHMAD YANI, ID","-6.973","110.375","3.0","2022-02",,,,,,,,,"0","3,S","25","3,S","6","3,S",,,"94","3,S,16,",,,,,,,,,"88.2","3,,,S",,
"IDM00096839","ACHMAD YANI, ID","-6.973","110.375","3.0","2022-04",,,,,,,,,"0","4,S","26","4,S","16","4,S",,,"95","4,S,10,",,,,,,,,,"90.5","4,,,S",,
"IDM00096839","ACHMAD YANI, ID","-6.973","110.375","3.0","2022-05",,,,,,,,,"0","2,S","29","2,S","21","2,S",,,"94","2,S,03,",,,,,,,,,"90.8","2,,,S",,
"IDM00096839","ACHMAD YANI, ID","-6.973","110.375","3.0","2022-06",,,,,,,,,"0",",S","30",",S","18",",S",,,"93",",S,10,",,,,,,,,,"90.2",",,,S",,
"IDM00096839","ACHMAD YANI, ID","-6.973","110.375","3.0","2022-07",,,,,,,,,"0",",S","31",",S","28",",S",,,"94",",S,21,",,,,,,,,,"91.5",",,,S",,
"IDM00096839","ACHMAD YANI, ID","-6.973","110.375","3.0","2022-08",,,,,,,,,"0","1,S","30","1,S","27","1,S",,,"94","1,S,11,+",,,,,,,,,"92.0","1,,,S",,
"IDM00096839","ACHMAD YANI, ID","-6.973","110.375","3.0","2022-09",,,,,,,,,"0","1,S","29","1,S","26","1,S",,,"97","1,S,18,",,,,,,,,,"92.9","1,,,S",,
"IDM00096839","ACHMAD YANI, ID","-6.973","110.375","3.0","2022-10",,,,,,,,,"0","4,S","27","4,S","14","4,S",,,"92","4,S,01,",,,,,,,,,"89.5","4,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2021-01",,,,,,,,,"0","1,S","30","1,S","19","1,S",,,"92","1,S,14,",,,,,,,,,"89.6","1,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2021-03",,,,,,,,,"0","1,S","30","1,S","17","1,S",,,"92","1,S,05,",,,,,,,,,"90.0","1,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2021-04",,,,,,,,,"0","3,S","27","3,S","15","3,S",,,"91","3,S,03,",,,,,,,,,"90.0","3,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2021-05",,,,,,,,,"0","1,S","30","1,S","21","1,S",,,"92","1,S,01,",,,,,,,,,"89.9","1,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2021-06",,,"415","5,S","0","5,S","0","5,S","0",",S","30",",S","15",",S","72","5,S,23,","92",",S,06,",,,"0",",S",,,"81.5","5,S","89.5",",,,S","73.4","5,,,S"
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2021-08",,,,,,,,,"0","2,S","29","2,S","11","2,S",,,"92","2,S,04,",,,,,,,,,"89.2","2,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2021-09",,,,,,,,,"0","3,S","27","3,S","9","3,S",,,"93","3,S,08,",,,,,,,,,"89.2","3,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2021-10",,,,,,,,,"0","2,S","29","2,S","24","2,S",,,"93","2,S,29,",,,,,,,,,"90.7","2,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2021-11",,,,,,,,,"0","2,S","28","2,S","16","2,S",,,"92","2,S,22,",,,,,,,,,"90.1","2,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2021-12",,,,,,,,,"0","3,S","28","3,S","15","3,S",,,"92","3,S,17,",,,,,,,,,"89.6","3,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2022-01",,,,,,,,,"0","3,S","28","3,S","10","3,S",,,"91","3,S,29,+",,,,,,,,,"89.0","3,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2022-02",,,,,,,,,"0","4,S","24","4,S","13","4,S",,,"91","4,S,27,",,,,,,,,,"89.3","4,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2022-03",,,,,,,,,"0","2,S","29","2,S","14","2,S",,,"92","2,S,29,",,,,,,,,,"89.6","2,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2022-04",,,,,,,,,"0","1,S","29","1,S","23","1,S",,,"92","1,S,09,",,,,,,,,,"90.3","1,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2022-05",,,,,,,,,"0","1,S","30","1,S","19","1,S",,,"93","1,S,19,",,,,,,,,,"90.0","1,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2022-06",,,,,,,,,"0",",S","30",",S","19",",S",,,"93",",S,21,",,,,,,,,,"90.0",",,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2022-07",,,,,,,,,"0","1,S","30","1,S","10","1,S",,,"92","1,S,25,+",,,,,,,,,"89.0","1,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2022-08",,,,,,,,,"0",",S","31",",S","12",",S",,,"93",",S,23,",,,,,,,,,"89.4",",,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2022-09",,,,,,,,,"0","1,S","29","1,S","13","1,S",,,"95","1,S,26,",,,,,,,,,"89.5","1,,,S",,
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","2022-10",,,,,,,,,"0","4,S","27","4,S","14","4,S",,,"91","4,S,31,+",,,,,,,,,"89.7","4,,,S",,
"IDM00096685","SYAMSUDIN NOOR, ID","-3.442","114.763","20.1","2021-04",,,,,,,,,"0","4,S","26","4,S","19","4,S",,,"96","4,S,25,",,,,,,,,,"91.5","4,,,S",,
"IDM00096685","SYAMSUDIN NOOR, ID","-3.442","114.763","20.1","2021-06",,,,,,,,,"0","2,S","28","2,S","20","2,S",,,"95","2,S,04,",,,,,,,,,"91.2","2,,,S",,
"IDM00096685","SYAMSUDIN NOOR, ID","-3.442","114.763","20.1","2021-10",,,,,,,,,"0","5,S","26","5,S","20","5,S",,,"96","5,S,27,",,,,,,,,,"91.6","5,,,S",,
"IDM00096685","SYAMSUDIN NOOR, ID","-3.442","114.763","20.1","2021-12",,,,,,,,,"0","5,S","26","5,S","4","5,S",,,"92","5,S,22,",,,,,,,,,"87.2","5,,,S",,
"IDM00096685","SYAMSUDIN NOOR, ID","-3.442","114.763","20.1","2022-03",,,,,,,,,"0","4,S","27","4,S","14","4,S",,,"95","4,S,31,",,,,,,,,,"89.7","4,,,S",,
"IDM00096685","SYAMSUDIN NOOR, ID","-3.442","114.763","20.1","2022-04",,,,,,,,,"0","4,S","26","4,S","18","4,S",,,"96","4,S,30,",,,,,,,,,"91.1","4,,,S",,
"IDM00096685","SYAMSUDIN NOOR, ID","-3.442","114.763","20.1","2022-05",,,,,,,,,"0","4,S","27","4,S","20","4,S",,,"95","4,S,03,",,,,,,,,,"90.7","4,,,S",,
"IDM00096685","SYAMSUDIN NOOR, ID","-3.442","114.763","20.1","2022-06",,,,,,,,,"0","2,S","28","2,S","16","2,S",,,"94","2,S,01,",,,,,,,,,"89.8","2,,,S",,
"IDM00096685","SYAMSUDIN NOOR, ID","-3.442","114.763","20.1","2022-07",,,,,,,,,"0","5,S","26","5,S","13","5,S",,,"93","5,S,21,+",,,,,,,,,"89.0","5,,,S",,
"IDM00096685","SYAMSUDIN NOOR, ID","-3.442","114.763","20.1","2022-08",,,,,,,,,"0","5,S","26","5,S","16","5,S",,,"96","5,S,12,",,,,,,,,,"89.7","5,,,S",,
"IDM00096685","SYAMSUDIN NOOR, ID","-3.442","114.763","20.1","2022-09",,,,,,,,,"0","3,S","27","3,S","15","3,S",,,"95","3,S,22,",,,,,,,,,"89.4","3,,,S",,
"IDM00096685","SYAMSUDIN NOOR, ID","-3.442","114.763","20.1","2022-10",,,,,,,,,"0","3,S","28","3,S","10","3,S",,,"94","3,S,31,",,,,,,,,,"88.6","3,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2021-01",,,,,,,,,"0","5,S","26","5,S","7","5,S",,,"92","5,S,14,+",,,,,,,,,"88.3","5,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2021-03",,,,,,,,,"0","3,S","28","3,S","2","3,S",,,"91","3,S,26,",,,,,,,,,"88.0","3,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2021-04",,,,,,,,,"0","1,S","29","1,S","2","1,S",,,"92","1,S,13,",,,,,,,,,"87.4","1,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2021-05",,,,,,,,,"0","2,S","29","2,S","0","2,S",,,"90","2,S,13,",,,,,,,,,"87.8","2,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2021-06",,,,,,,,,"0","1,S","29","1,S","5","1,S",,,"91","1,S,21,",,,,,,,,,"88.0","1,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2021-07",,,,,,,,,"0","1,S","30","1,S","0","1,S",,,"90","1,S,28,",,,,,,,,,"87.3","1,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2021-08",,,,,,,,,"0","1,S","30","1,S","6","1,S",,,"91","1,S,30,",,,,,,,,,"88.7","1,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2021-09",,,,,,,,,"0","1,S","29","1,S","11","1,S",,,"94","1,S,30,",,,,,,,,,"89.9","1,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2021-10",,,,,,,,,"0","1,S","30","1,S","30","1,S",,,"96","1,S,26,",,,,,,,,,"92.1","1,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2021-11",,,,,,,,,"0","3,S","27","3,S","21","3,S",,,"94","3,S,01,",,,,,,,,,"90.8","3,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2021-12",,,,,,,,,"0","2,S","29","2,S","18","2,S",,,"93","2,S,16,",,,,,,,,,"89.6","2,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2022-03",,,,,,,,,"0","2,S","29","2,S","10","2,S",,,"92","2,S,20,",,,,,,,,,"89.3","2,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2022-04",,,,,,,,,"0","2,S","28","2,S","23","2,S",,,"95","2,S,19,",,,,,,,,,"91.0","2,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2022-05",,,,,,,,,"0","3,S","28","3,S","17","3,S",,,"92","3,S,17,",,,,,,,,,"89.7","3,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2022-06",,,,,,,,,"0","2,S","28","2,S","12","2,S",,,"93","2,S,03,",,,,,,,,,"88.8","2,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2022-07",,,,,,,,,"0","2,S","29","2,S","0","2,S",,,"86","2,S,31,+",,,,,,,,,"83.5","2,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2022-08",,,,,,,,,"0",",S","31",",S","4",",S",,,"92",",S,20,",,,,,,,,,"87.2",",,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2022-09",,,,,,,,,"0","2,S","28","2,S","13","2,S",,,"94","2,S,24,",,,,,,,,,"89.7","2,,,S",,
"IDM00097378","ROTE BAA LEKUNIK, ID","-10.733","123.067","1.0","2022-10",,,,,,,,,"0","2,S","29","2,S","14","2,S",,,"93","2,S,17,",,,,,,,,,"89.9","2,,,S",,
"ID000097560","BIAK FRANS KAISIEPO, ID","-1.183","136.117","11.0","2021-01",,,,,,,,,"0",",S","31",",S","1",",S",,,"91",",S,22,",,,,,,,,,"86.7",",,,S",,
"ID000097560","BIAK FRANS KAISIEPO, ID","-1.183","136.117","11.0","2021-03",,,,,,,,,"0",",S","31",",S","1",",S",,,"90",",S,14,",,,,,,,,,"86.4",",,,S",,
